name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
spectrometer,RandomOverSampler,1.0,0.8729189789123196,0.8125,0.7647058823529411,0.787878787878788,0.8661855860486004,0.6440508021390374
car_eval_34,RandomOverSampler,0.3,0.99812734082397,0.9487179487179488,1.0,0.9736842105263158,0.9981255841064992,0.9487179487179488
car_eval_34,RandomOverSampler,0.5,0.9547778115193846,0.8717948717948718,0.9189189189189191,0.8947368421052632,0.9541041919996022,0.8063627415641427
car_eval_34,RandomOverSampler,0.7,0.99625468164794,0.902439024390244,1.0,0.9487179487179488,0.9962476415509752,0.902439024390244
car_eval_34,RandomOverSampler,0.9,0.9953183520599252,0.8809523809523809,1.0,0.9367088607594936,0.9953073415382055,0.8809523809523809
car_eval_34,RandomOverSampler,1.0,0.9953183520599252,0.8809523809523809,1.0,0.9367088607594936,0.9953073415382055,0.8809523809523809
isolet,RandomOverSampler,0.3,0.9082226241754204,0.9204545454545454,0.8223350253807107,0.8686327077747991,0.9041524514357996,0.7705195255956677
isolet,RandomOverSampler,0.5,0.91837490843938,0.9222222222222224,0.8426395939086294,0.8806366047745359,0.915246761580705,0.7891444708703592
isolet,RandomOverSampler,0.7,0.9355103583623944,0.9105263157894736,0.8781725888324873,0.8940568475452197,0.9337515787342321,0.8089232612609584
isolet,RandomOverSampler,0.9,0.9412175480332884,0.925925925925926,0.8883248730964467,0.9067357512953368,0.9397301940790354,0.8310700391918666
isolet,RandomOverSampler,1.0,0.9450315950874392,0.8984771573604061,0.8984771573604061,0.8984771573604061,0.9438842090221816,0.8150312100684438
us_crime,RandomOverSampler,0.3,0.6867231638418079,0.5454545454545454,0.4067796610169492,0.4660194174757282,0.6270728338742246,0.27499058900000234
us_crime,RandomOverSampler,0.5,0.7113135593220339,0.5625,0.4576271186440678,0.5046728971962616,0.6645375606325992,0.30597367608857795
us_crime,RandomOverSampler,0.7,0.6858898305084746,0.5333333333333333,0.4067796610169492,0.4615384615384616,0.6265320206353032,0.27005992644222115
us_crime,RandomOverSampler,0.9,0.6935310734463277,0.5319148936170213,0.42372881355932196,0.4716981132075472,0.6388991238024045,0.2769809900038689
us_crime,RandomOverSampler,1.0,0.7164548022598871,0.5283018867924528,0.4745762711864407,0.5,0.6743902875093959,0.2977605106631604
yeast_ml8,RandomOverSampler,0.3,0.5094339622641509,1.0,0.018867924528301886,0.037037037037037035,0.137360563948689,0.0840308317964723
yeast_ml8,RandomOverSampler,0.5,0.5,0.0,0.0,0.0,0.0,0.06641604010025062
yeast_ml8,RandomOverSampler,0.7,0.5094339622641509,1.0,0.018867924528301886,0.037037037037037035,0.137360563948689,0.0840308317964723
yeast_ml8,RandomOverSampler,0.9,0.5094339622641509,1.0,0.018867924528301886,0.037037037037037035,0.137360563948689,0.0840308317964723
yeast_ml8,RandomOverSampler,1.0,0.5087628213245536,0.5,0.018867924528301886,0.03636363636363636,0.13726834469428678,0.07459686953232136
scene,RandomOverSampler,0.3,0.5560724977749009,0.6666666666666666,0.1176470588235294,0.2,0.3420522727039164,0.15390307066222714
scene,RandomOverSampler,0.5,0.5399910996035278,0.5,0.08823529411764706,0.15,0.295815956061924,0.12210506844247132
scene,RandomOverSampler,0.7,0.5420543733311757,0.6666666666666666,0.08823529411764706,0.15584415584415584,0.2964307456881601,0.1368109507954125
scene,RandomOverSampler,0.9,0.5641131968605875,0.75,0.1323529411764706,0.22500000000000006,0.3630520355043584,0.17347854236034038
scene,RandomOverSampler,1.0,0.5620499231329396,0.6,0.1323529411764706,0.21686746987951808,0.3622990750626411,0.15362560118386975
libras_move,RandomOverSampler,0.3,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5773502691896257,0.3501400560224089
libras_move,RandomOverSampler,0.5,0.8333333333333333,1.0,0.6666666666666666,0.8,0.8164965809277259,0.6750700280112044
libras_move,RandomOverSampler,0.7,0.8333333333333333,1.0,0.6666666666666666,0.8,0.8164965809277259,0.6750700280112044
libras_move,RandomOverSampler,0.9,0.8333333333333333,1.0,0.6666666666666666,0.8,0.8164965809277259,0.6750700280112044
libras_move,RandomOverSampler,1.0,0.8290229885057472,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8129695813681377,0.4528478057889823
thyroid_sick,RandomOverSampler,0.3,0.9353540772532192,0.9333333333333332,0.875,0.9032258064516128,0.9334048613507072,0.8246987951807229
thyroid_sick,RandomOverSampler,0.5,0.9357832618025752,0.945945945945946,0.875,0.9090909090909092,0.9338071043606953,0.8357348312167591
thyroid_sick,RandomOverSampler,0.7,0.9349248927038628,0.9210526315789472,0.875,0.8974358974358975,0.9330024449227128,0.8139531811456352
thyroid_sick,RandomOverSampler,0.9,0.9353540772532192,0.9333333333333332,0.875,0.9032258064516128,0.9334048613507072,0.8246987951807229
thyroid_sick,RandomOverSampler,1.0,0.9349248927038628,0.9210526315789472,0.875,0.8974358974358975,0.9330024449227128,0.8139531811456352
coil_2000,RandomOverSampler,0.3,0.570326619300545,0.1945945945945946,0.18947368421052632,0.192,0.4245273778169163,0.08437209702315712
coil_2000,RandomOverSampler,0.5,0.5700403531765192,0.1568627450980392,0.21052631578947367,0.1797752808988764,0.44237502322269145,0.07929147177556695
coil_2000,RandomOverSampler,0.7,0.5702352210802235,0.14098360655737704,0.22631578947368425,0.17373737373737375,0.4548490210210925,0.07724919746702442
coil_2000,RandomOverSampler,0.9,0.5751810719459198,0.1411042944785276,0.24210526315789474,0.17829457364341084,0.4689283219480994,0.07857911887426829
coil_2000,RandomOverSampler,1.0,0.5786421328550735,0.1415929203539823,0.25263157894736843,0.18147448015122872,0.4780625865468452,0.07957096641742477
arrhythmia,RandomOverSampler,0.3,0.9231678486997636,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9225312080288852,0.5146031746031746
arrhythmia,RandomOverSampler,0.5,0.9231678486997636,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9225312080288852,0.5146031746031746
arrhythmia,RandomOverSampler,0.7,0.9231678486997636,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9225312080288852,0.5146031746031746
arrhythmia,RandomOverSampler,0.9,0.9231678486997636,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9225312080288852,0.5146031746031746
arrhythmia,RandomOverSampler,1.0,0.9231678486997636,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9225312080288852,0.5146031746031746
