,name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
0,optical_digits,ADASYN,0.5,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,optical_digits,ADASYN,0.7,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,optical_digits,ADASYN,0.9,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,optical_digits,ADASYN,1.0,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,satimage,,0.0,0.787401104642484,0.8051948051948052,0.5904761904761905,0.6813186813186813,0.7623785659190596,0.5159380033472044
0,satimage,synthsonic,0.1,0.8035453052694432,0.803680981595092,0.6238095238095238,0.7024128686327078,0.7831858696909404,0.5385378240582567
0,satimage,synthsonic,0.3,0.7943125839677564,0.7619047619047619,0.6095238095238096,0.6772486772486773,0.7725189899860315,0.5030054959837043
0,satimage,synthsonic,0.5,0.8020376175548589,0.7037037037037037,0.6333333333333333,0.6666666666666667,0.7840938747741732,0.48193136639464323
0,satimage,synthsonic,0.7,0.8157710105985968,0.7379679144385026,0.6571428571428571,0.6952141057934509,0.8001996317571498,0.5188486488586189
0,satimage,synthsonic,0.9,0.8170771756978654,0.7582417582417582,0.6571428571428571,0.7040816326530612,0.8012715674443625,0.5321714605007583
0,satimage,synthsonic,1.0,0.8205627705627705,0.7085427135678392,0.6714285714285714,0.6894865525672371,0.8068966793104623,0.5082216976731924
0,satimage,ADASYN,0.1,0.8387968353485595,0.74,0.7047619047619048,0.7219512195121951,0.8280185797271635,0.5507140166801183
0,satimage,ADASYN,0.3,0.8387968353485595,0.74,0.7047619047619048,0.7219512195121951,0.8280185797271635,0.5507140166801183
0,satimage,ADASYN,0.5,0.8387968353485595,0.74,0.7047619047619048,0.7219512195121951,0.8280185797271635,0.5507140166801183
0,satimage,ADASYN,0.7,0.8387968353485595,0.74,0.7047619047619048,0.7219512195121951,0.8280185797271635,0.5507140166801183
0,satimage,ADASYN,0.9,0.8387968353485595,0.74,0.7047619047619048,0.7219512195121951,0.8280185797271635,0.5507140166801183
0,satimage,ADASYN,1.0,0.8387968353485595,0.74,0.7047619047619048,0.7219512195121951,0.8280185797271635,0.5507140166801183
0,pen_digits,,0.0,0.9953970347029066,0.9942528735632183,0.9914040114613181,0.9928263988522238,0.9953890256883143,0.9865331891318282
0,pen_digits,synthsonic,0.1,0.9984148497296768,0.997134670487106,0.997134670487106,0.997134670487106,0.9984140289989119,0.9945531850455331
0,pen_digits,synthsonic,0.3,0.9939643699464598,0.9942363112391931,0.9885386819484241,0.9913793103448276,0.9939495614128568,0.9839435884900697
0,pen_digits,synthsonic,0.5,0.9896663756771187,0.9941860465116279,0.9799426934097422,0.9870129870129871,0.989618605902823,0.9761747898757134
0,pen_digits,synthsonic,0.7,0.9941168554603359,0.9971098265895953,0.9885386819484241,0.9928057553956834,0.9941012052555903,0.9867841695671149
0,pen_digits,synthsonic,0.9,0.9968296994593537,0.994269340974212,0.994269340974212,0.994269340974212,0.9968264113117453,0.9891227903175013
0,pen_digits,synthsonic,1.0,0.9968296994593537,0.994269340974212,0.994269340974212,0.994269340974212,0.9968264113117453,0.9891227903175013
0,pen_digits,ADASYN,0.1,0.9909465549196895,0.9913294797687862,0.9828080229226361,0.9870503597122302,0.990913133934622,0.9759403698251079
0,pen_digits,ADASYN,0.3,0.9909465549196895,0.9913294797687862,0.9828080229226361,0.9870503597122302,0.990913133934622,0.9759403698251079
0,pen_digits,ADASYN,0.5,0.9909465549196895,0.9913294797687862,0.9828080229226361,0.9870503597122302,0.990913133934622,0.9759403698251079
0,pen_digits,ADASYN,0.7,0.9909465549196895,0.9913294797687862,0.9828080229226361,0.9870503597122302,0.990913133934622,0.9759403698251079
0,pen_digits,ADASYN,0.9,0.9909465549196895,0.9913294797687862,0.9828080229226361,0.9870503597122302,0.990913133934622,0.9759403698251079
0,pen_digits,ADASYN,1.0,0.9909465549196895,0.9913294797687862,0.9828080229226361,0.9870503597122302,0.990913133934622,0.9759403698251079
0,abalone,,0.0,0.5531079542048792,0.33962264150943394,0.13432835820895522,0.1925133689839572,0.36131988456518344,0.1297398786030715
0,abalone,synthsonic,0.1,0.5571899538452316,0.2619047619047619,0.16417910447761194,0.2018348623853211,0.39497229895955177,0.12421756337962112
0,abalone,synthsonic,0.3,0.5770514895402505,0.313953488372093,0.20149253731343283,0.24545454545454543,0.43811402052766674,0.14085174327361455
0,abalone,synthsonic,0.5,0.5755619492896961,0.28,0.208955223880597,0.23931623931623933,0.4437015509945532,0.13537475782797398
0,abalone,synthsonic,0.7,0.5713121141281544,0.28888888888888886,0.19402985074626866,0.23214285714285715,0.42901704568352844,0.13437068945819608
0,abalone,synthsonic,0.9,0.5735539171611821,0.26666666666666666,0.208955223880597,0.23430962343096232,0.4427548856297646,0.13258868817623268
0,abalone,synthsonic,1.0,0.5698225738775999,0.25961538461538464,0.20149253731343283,0.22689075630252103,0.43477666665212406,0.12990302087487482
0,abalone,ADASYN,0.1,0.6003086974764731,0.2824427480916031,0.27611940298507465,0.279245283018868,0.5052443305996308,0.14832874966652163
0,abalone,ADASYN,0.3,0.6003086974764731,0.2824427480916031,0.27611940298507465,0.279245283018868,0.5052443305996308,0.14832874966652163
